ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
49;0;0;0;0;0;0;1;0;8;Marseille
50;6;8;14;6;0;0;4;0;17;Strasbourg
51;0;0;0;0;0;0;9;1;8;Marseille
52;0;0;0;0;0;0;0;0;4;Le Havre
53;4;0;4;4;0;0;0;0;9;Monaco
54;0;0;0;0;0;0;2;0;1;Angers
55;0;0;0;0;0;0;0;0;14;Reims
56;0;2;2;0;0;0;2;0;17;Strasbourg
57;14;10;24;14;0;0;2;0;13;Paris S-G
58;2;0;2;2;0;0;4;2;12;Nice
59;0;0;0;0;0;0;0;0;10;Montpellier
60;0;0;0;0;0;0;3;1;16;Saint-Étienne
61;0;1;1;0;0;0;1;0;1;Angers
62;1;1;2;1;0;0;4;0;1;Angers
63;6;3;9;4;2;2;0;0;9;Monaco
64;0;2;2;0;0;0;2;0;8;Marseille
65;1;3;4;1;0;0;0;0;7;Lyon
66;1;0;1;1;0;0;0;0;6;Lille
67;1;0;1;1;0;0;6;0;13;Paris S-G
68;0;0;0;0;0;0;2;0;16;Saint-Étienne
69;0;0;0;0;0;0;0;0;10;Montpellier
70;13;2;15;12;1;2;0;0;9;Monaco
71;1;0;1;1;0;0;2;0;1;Angers
72;0;0;0;0;0;0;4;0;3;Brest
73;6;8;14;6;0;0;6;0;15;Rennes
74;3;0;3;3;0;0;5;0;16;Saint-Étienne
75;0;0;0;0;0;0;0;0;4;Le Havre
76;1;2;3;1;0;0;0;0;12;Nice
77;0;0;0;0;0;0;3;1;12;Nice
78;0;0;0;0;0;0;0;0;9;Monaco
79;0;1;1;0;0;0;2;0;6;Lille
80;2;3;5;2;0;0;2;0;12;Nice
81;1;0;1;1;0;0;5;0;16;Saint-Étienne
82;2;2;4;2;0;0;9;0;12;Nice
83;1;0;1;1;0;0;0;0;3;Brest
84;1;0;1;1;0;0;0;0;15;Rennes
85;0;0;0;0;0;0;0;0;12;Nice
86;0;0;0;0;0;0;3;0;8;Marseille
87;1;0;1;1;0;0;1;0;8;Marseille
88;0;0;0;0;0;0;0;0;16;Saint-Étienne
89;0;1;1;0;0;0;5;0;14;Reims
90;0;0;0;0;0;0;0;0;12;Nice
91;0;2;2;0;0;0;1;0;6;Lille
92;1;0;1;1;0;0;3;1;16;Saint-Étienne
93;1;0;1;1;0;0;7;0;7;Lyon
94;0;0;0;0;0;0;0;0;12;Nice
95;2;7;9;2;0;0;10;1;9;Monaco
96;5;3;8;5;0;0;5;0;3;Brest
97;0;0;0;0;0;0;1;0;1;Angers
98;0;0;0;0;0;0;0;0;3;Brest
99;0;0;0;0;0;0;2;0;18;Toulouse
100;0;0;0;0;0;0;4;0;1;Angers
101;0;0;0;0;0;0;0;0;5;Lens
102;0;0;0;0;0;0;1;0;7;Lyon
103;0;0;0;0;0;0;0;0;10;Montpellier
104;0;0;0;0;0;0;1;0;8;Marseille
105;5;2;7;5;0;1;2;0;16;Saint-Étienne
106;0;0;0;0;0;0;0;0;11;Nantes
